"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-15","Channel-14","Channel-13","Channel-12","Channel-11","Channel-10","Channel-9","Channel-8","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,-1073790,500000,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1
1073757,-33,500000,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1
1073783,-7,500000,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1
1073790,0,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
1073791,1,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
1073797,7,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
1073805,15,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
1073813,23,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
1073818,28,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
1073823,33,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
1073829,39,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
1073834,44,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
1073839,49,500000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
1073843,53,500000,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
1073845,55,500000,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0
1073850,60,500000,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1
1073854,64,500000,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1
1073855,65,500000,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0
1073861,71,500000,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1
1073869,79,500000,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1
1073890,100,500000,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1
1073897,107,500000,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1
1073898,108,500000,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0
1073903,113,500000,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1
1073911,121,500000,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
1073943,153,500000,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1
1074154,364,500000,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1
1074157,367,500000,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
1074159,369,500000,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1
1074162,372,500000,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
1074165,375,500000,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
1074167,377,500000,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1
1074170,380,500000,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1
1074173,383,500000,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1
1074175,385,500000,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1
1074178,388,500000,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1
1074181,391,500000,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1
1074183,393,500000,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1
1074186,396,500000,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
1074189,399,500000,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1
1074191,401,500000,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1
1074194,404,500000,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1
1074197,407,500000,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
1074199,409,500000,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1
1074202,412,500000,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1
1074205,415,500000,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1
1074207,417,500000,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
1074210,420,500000,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1
1074213,423,500000,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1
1074215,425,500000,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1
1074218,428,500000,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
1074221,431,500000,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1
1074223,433,500000,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1
1074226,436,500000,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1
